,Train Score-lemma,Bal Train Score-lemma,f1 Train Score-lemma,Test Score-lemma,Bal Test Score-lemma,f1 Test score-lemma
BernoilliNB,0.91,0.9099999999999999,0.9017467248908296,0.9156666666666666,0.9156666666666666,0.908631274828458
MultinominalB,0.954,0.954,0.9555984555984556,0.8966666666666666,0.8966666666666667,0.9055645816409424
Extra Tree,1.0,1.0,1.0,0.9627777777777777,0.9627777777777777,0.962329922410885
SVC,0.968,0.968,0.9669421487603307,0.9542222222222222,0.9542222222222223,0.9529895025102694
Logistic,0.998,0.998,0.997996,0.968222,0.968222,0.967411
Random Forest,1.0,1.0,1.0,0.955111,0.955111,0.953955
