,Baseline Test Score,rsme,w/ Intercept Score,rsme_i,n/ Intercept Score,rsme_n_i,other Score,rsme_o
LinearRegression(),0.9058126620778286,24998.404132057054,0.9058126620778286,24998.404132057054,0.9057916045702099,25001.198428393836,,
LogisticRegression(),0.01364522417153996,44278.09120108167,,,,,,
Ridge(),0.9175409216270399,23390.271442627345,0.9143666369230723,23836.227606942608,0.9120538765826537,24155.964017754846,,
Lasso(),0.9141109646254675,23871.784548682026,0.9220971038346236,22734.888328927525,0.9210485938777743,22887.37356373522,,
ElasticNet(),0.88331130129953,27824.695600442585,0.9071318657493225,24822.72087744602,0.9042972068268573,25198.711259605745,,
KNeighborsRegressor(),0.8750861120627224,28788.655751351514,,,,,0.8805638295039733,28150.360350871462
SVR(),-0.07324559749712067,84385.06347149205,,,,,-0.05986265437585714,83857.2890396574
