,Baseline Test Score,rsme,Baseline w/ KBest,rsme_kbest
LinearRegression(),0.8203236137821881,35166.596954039494,0.7663466398699678,40102.44550862884
LogisticRegression(),0.01364522417153996,50787.763677605646,0.011695906432748537,46995.80155234889
Ridge(),0.8216130933956782,35040.180056490724,0.7663583129917417,40101.44375419983
Lasso(),0.81941783035462,35255.126330596,0.7663515235253868,40102.026410122
ElasticNet(),0.8567531131917914,31399.8402102076,0.749822153167881,41496.289715802544
KNeighborsRegressor(),0.7664518389539859,40093.41671594237,0.8707072842117352,29831.27879060774
SVR(),-0.05581909459844647,85247.09688873371,-0.05236243670379492,85107.43677628283
