,Baseline Test Score,rsme,w/ Intercept,rsme_i,n/ Intercept,rsme_ni,other,rsme_o
LinearRegression(),0.7181840635621028,43373.97526517309,0.7181840635621028,43455.94024956352,-4.151056526135304,185786.66322900614,,
LogisticRegression(),0.017543859649122806,49463.213679313034,,,,,,
Ridge(),0.7181807220247618,43375.67699754944,0.7181464841702053,43458.837518952474,-4.1515203968631145,185795.02841138325,,
Lasso(),0.7181861734528967,43373.95192759512,0.7182047687658306,43454.34385186757,-4.151098518449329,185787.42051015462,,
ElasticNet(),0.6944251671734524,46147.04484859151,0.7166353856682433,43575.179512195624,-4.160144456730015,185950.48129591253,,
KNeighborsRegressor(),0.8506295844492128,34210.25426516973,,,,,0.8530130426066683,31383.818029666872
SVR(),-0.08854799762809007,85401.24649775511,,,,,-0.05397969179475348,84039.3139419663
